5 88 A C9 0 0
D 89 2B 80 0 0
D 89 30 EC 80 0
5 89 4C F6 80 0
5 89 4F 46 0 0
D 89 D9 B8 80 0
5 8A 2A F0 80 0
5 8A 78 5 80 0
5 8A 82 FB 0 0
D 8A 95 DF 0 0
5 8A A3 C 80 0
D 8B F6 C8 0 0
5 8C 2E 8E 0 0
D 8C 38 25 80 0
D 8C B4 38 80 0
5 8D 53 85 80 0
5 8D CA E9 80 0
5 8D ED E8 80 0
D 8E A C1 80 0
5 8E 14 83 0 0
5 8E 63 34 0 0
5 8E EF 60 80 0
D 8F 8E 35 80 0
5 90 C 50 0 0
5 90 2E 2 0 0
5 90 AC 4A 80 0
5 90 CF C8 80 0
D 90 CF E0 80 0
5 90 FE D6 80 0
D 91 12 8 0 0
5 91 40 6 0 0
5 91 73 10 80 0
D 91 9D 48 0 0
5 92 A F 0 0
5 92 E 69 0 0
D 92 24 70 0 0
5 92 78 BD 80 0
5 93 6 B7 0 0
D 93 34 7B 0 0
5 93 66 3F 80 0
5 93 B0 8D 80 0
D 93 BC 72 0 0
5 93 C1 E6 0 0
D 94 B0 8E 0 0
D 94 E7 B7 80 0
5 94 EF D 80 0
5 95 2E E7 0 0
5 95 6C 12 0 0
5 95 B5 EB 0 0
D 96 5B ED 0 0
D 97 AB 8F 80 0
5 97 C6 B9 80 0
5 97 DF 28 80 0
5 98 29 6 0 0
5 98 52 2A 80 0
5 98 FF 4A 0 0
D 99 24 22 0 0
5 9A 14 A3 0 0
D 9A 41 9 0 0
5 9A 84 E1 80 0
5 9A B6 22 0 0
5 9B F9 6C 0 0
5 9C F F0 80 0
5 9C 4A 8F 80 0
5 9D 62 B8 0 0
D 9D 6E 40 80 0
D 9E 80 69 80 0
5 9F 67 D0 0 0
5 9F 92 28 80 0
D 9F EE B4 0 0
5 A0 53 A9 80 0
5 A0 D1 29 0 0
5 A1 1 3A 0 0
5 A1 B2 A8 80 0
5 A2 77 41 80 0
5 A2 C4 80 0 0
5 A3 35 A7 80 0
5 A3 61 AC 80 0
