F 87 4A 4A 80 0
7 87 A5 E1 0 0
7 88 6C A4 0 0
7 88 7F B4 80 0
7 89 1D 81 80 0
7 8A 77 A4 80 0
F 8A 87 4B 0 0
7 8C FE 94 0 0
F 8D 28 D2 80 0
F 8D 30 CC 80 0
F 8E A8 D8 80 0
7 8F 30 E4 0 0
F 8F C0 E0 0 0
7 90 11 69 0 0
7 90 40 70 0 0
7 90 96 E9 0 0
F 90 9D 17 80 0
7 91 80 C2 0 0
F 91 84 46 0 0
7 91 9B 7A 80 0
7 92 A6 E2 80 0
F 92 EB D5 80 0
F 93 5B 1B 0 0
7 94 5 98 0 0
F 94 2A B0 0 0
7 94 84 EF 0 0
7 95 13 4B 80 0
F 95 57 81 80 0
7 95 D7 35 0 0
F 95 F7 CC 0 0
7 96 3A B0 80 0
7 96 41 A7 0 0
F 96 89 46 80 0
7 96 AC BB 80 0
7 97 2 D2 0 0
F 97 B7 DA 80 0
7 97 E1 9E 80 0
7 98 10 C0 80 0
F 98 3F 9A 80 0
7 98 61 E0 0 0
7 98 EE 4 0 0
1F 98 F7 88 80 0
F 99 55 49 0 0
7 99 77 AD 0 0
7 99 97 40 80 0
7 99 E6 A0 80 0
F 9A 64 23 0 0
7 9A 6B 77 0 0
7 9A 6D 80 0 0
F 9A D4 59 0 0
7 9A FB 88 0 0
7 9B 1D 4B 0 0
F 9B D2 97 80 0
1F 9C 3F 52 80 0
F 9C 64 6F 0 0
7 9C D6 E0 80 0
7 9D 7E DB 0 0
F A0 86 0 80 0
7 A1 50 C5 80 0
7 A1 FD B4 80 0
F A2 21 6 80 0
7 A2 96 D8 0 0
7 A2 D3 58 0 0
F A3 2C D7 0 0
7 A3 98 DC 0 0
F A3 AC 98 80 0
F A4 54 3B 80 0
F A4 C8 89 0 0
7 A4 D3 DC 80 0
7 A5 1 B2 80 0
7 A5 46 62 80 0
F A5 5E 13 80 0
7 A5 9E DF 80 0
7 A5 C4 D6 0 0
F A5 CE 39 80 0
7 A6 DB E6 80 0
7 A6 F0 32 0 0
7 A6 F2 A5 0 0
7 A7 42 8C 80 0
7 A7 72 CD 80 0
F A8 ED AD 80 0
7 A9 4E CA 0 0
F A9 DC BB 0 0
7 AA 70 CE 80 0
F AA E7 C6 80 0
7 AA F4 3E 0 0
7 AB 29 B6 80 0
7 AB FB B1 80 0
7 AC 4B F3 80 0
F AC 70 3E 0 0
7 AC 74 13 80 0
F AD 45 8D 0 0
7 AD 45 A1 0 0
F AD 9D DC 80 0
7 AD F2 BD 0 0
7 AF 32 8F 0 0
F AF DB 26 80 0
7 B0 26 13 0 0
F B0 51 59 0 0
F B0 71 6F 0 0
7 B0 DC B0 0 0
7 B1 87 7E 0 0
7 B1 B9 C2 0 0
7 B1 FA C5 0 0
F B2 22 B6 80 0
F B2 50 F7 0 0
7 B3 35 A7 0 0
F B3 38 10 80 0
7 B3 D1 DF 0 0
F B4 62 B7 0 0
F B4 F2 16 80 0
7 B5 2C ED 0 0
F B5 A8 9B 0 0
F B5 FB 88 80 0
7 B7 5D B6 0 0
F B7 D9 DB 0 0
F B8 C1 DD 0 0
F B8 D9 B1 80 0
7 B8 F0 A9 0 0
7 B9 48 A1 80 0
7 B9 5A 23 80 0
7 B9 C2 36 80 0
7 B9 C8 85 0 0
7 B9 DD A7 80 0
7 B9 FC 99 80 0
7 BA BD 79 80 0
7 BB 30 C2 0 0
7 BB 3C 8F 0 0
7 BC 9B F8 0 0
7 BD 62 50 80 0
F BD C3 C2 80 0
7 BE 6F E5 0 0
7 BE E0 74 0 0
7 BF 36 3C 80 0
7 BF 47 9 80 0
7 BF 78 54 80 0
F BF 8E AA 80 0
7 C0 59 0 80 0
F C0 6F 51 80 0
7 C2 2D 33 0 0
F C2 45 69 80 0
7 C2 BA B3 80 0
7 C2 DC FD 0 0
7 C3 13 CA 0 0
F C3 21 47 80 0
F C3 33 C9 0 0
7 C4 23 6B 80 0
7 C4 7A FA 80 0
F C4 C5 D 0 0
7 C4 EA A7 0 0
7 C5 2B 72 0 0
7 C6 74 E6 0 0
F C7 16 DF 80 0
7 C8 2A A0 0 0
F C8 53 ED 0 0
7 C8 CB 2E 0 0
F C8 FB 3C 80 0
1F C9 17 16 80 0
7 C9 32 E3 80 0
F C9 39 AC 0 0
7 C9 46 84 0 0
7 C9 6B B6 0 0
7 C9 72 2C 80 0
7 C9 77 2A 80 0
7 C9 CA 7D 0 0
F C9 EF F 0 0
F CB 63 18 80 0
F CC 66 C1 0 0
7 CC 9E DB 0 0
F CC BE 3D 0 0
F CC E9 F5 80 0
7 CD 5F A5 0 0
F CD 63 F9 80 0
F CD 84 68 0 0
