6 AF A2 9B 0 0
6 AF C6 45 80 0
6 AF FB 17 0 0
E B0 85 61 0 0
6 B0 C0 E9 0 0
6 B0 F8 18 0 0
6 B1 AD 57 0 0
6 B1 E2 82 80 0
6 B1 F2 D1 80 0
6 B1 FC 23 80 0
6 B2 8F 64 80 0
6 B2 F5 42 0 0
E B3 89 4C 80 0
E B3 A5 FC 80 0
E B3 FB 7 80 0
E B4 3 6B 0 0
E B4 7 DC 80 0
6 B4 65 51 80 0
E B4 86 C7 0 0
E B4 BA 2A 0 0
E B5 88 33 80 0
6 B5 A5 44 80 0
E B6 32 4 80 0
E B6 AE 6A 80 0
6 B6 DE 15 0 0
6 B7 9C 8E 0 0
6 B8 3D 1F 80 0
E B8 41 9D 80 0
6 B8 46 B 0 0
E B9 23 D0 80 0
6 B9 3F F0 0 0
1E B9 49 4C 80 0
E BA 9B 6B 80 0
6 BB 14 46 0 0
6 BB 25 2F 0 0
6 BB C5 5 80 0
E BC 45 BD 0 0
E BD 64 7A 80 0
E BD C9 4D 80 0
6 BD FE 5F 0 0
6 BE 23 76 0 0
E BE 41 57 0 0
6 BE C8 64 0 0
6 BF 5C 47 80 0
E BF C2 5D 80 0
E C1 29 C 0 0
E C1 E1 1D 80 0
6 C1 EA 14 0 0
E C2 16 7A 80 0
6 C2 6B CB 80 0
E C2 F3 49 0 0
6 C4 38 94 0 0
6 C4 D2 1F 0 0
E C4 D8 B0 0 0
E C4 E4 86 0 0
6 C6 85 DA 0 0
E C6 8E 75 80 0
6 C6 93 D1 0 0
6 C6 99 88 0 0
E C7 98 C0 0 0
E CA 60 5 0 0
6 CB 32 CF 0 0
6 CB 4A 26 0 0
E CC DC B7 80 0
6 CD 76 9A 80 0
6 CE 2C E3 0 0
6 CE 60 3E 80 0
6 CF 39 96 0 0
6 CF BF B5 80 0
6 CF D9 40 0 0
E D1 75 5F 0 0
E D1 95 FB 80 0
6 D1 FC 3F 80 0
E D2 2D C4 0 0
6 D2 96 E6 0 0
E D3 CD B2 80 0
6 D3 F3 20 0 0
6 D4 7F 3F 80 0
6 D5 9 6A 80 0
E D5 28 F4 0 0
6 D5 35 3B 80 0
6 D5 3D 5F 0 0
6 D5 E5 54 80 0
E D6 94 D7 80 0
6 D6 C6 8B 80 0
6 D7 C 5B 80 0
6 D7 6D 1F 80 0
E D7 BA 30 0 0
6 D7 D1 AC 80 0
6 D7 EB E7 0 0
E D8 B7 33 0 0
6 D9 91 B1 0 0
E DA 28 39 0 0
E DA B7 F9 80 0
E DA E9 A 80 0
