7 12 C4 9F 80 0
F 12 EF D9 0 0
7 13 41 7E 80 0
F 13 86 D8 80 0
7 14 17 29 0 0
F 14 68 2E 0 0
7 14 9A 2B 0 0
7 14 B7 CF 0 0
7 15 9 10 80 0
F 15 A1 E8 0 0
F 17 58 8B 0 0
F 17 7D 47 0 0
7 17 AE 89 0 0
7 17 B1 26 80 0
F 18 10 66 80 0
7 18 6E B2 0 0
7 19 AD 82 80 0
7 19 B9 AA 80 0
F 19 F6 E7 0 0
7 1A 21 AF 80 0
F 1A 53 93 0 0
F 1A D7 C 80 0
7 1B DA C 80 0
F 1B E7 45 80 0
F 1C 16 F 0 0
F 1C 70 97 0 0
7 1C 96 6D 0 0
7 1C A8 D2 0 0
F 1D 27 C8 80 0
F 1D 29 58 0 0
7 1D 3B 39 0 0
7 1D 87 97 80 0
F 1D A3 25 0 0
7 1E 7A F5 80 0
F 1E A7 BF 0 0
7 1F 35 DB 80 0
7 1F 80 EF 0 0
7 1F 90 EC 80 0
F 1F B3 D1 80 0
F 20 3 DA 0 0
F 20 18 B4 80 0
F 20 6F 68 80 0
7 20 76 11 0 0
F 21 28 3 0 0
7 21 48 F6 80 0
7 21 6C F 0 0
7 21 DE 41 0 0
F 22 4E 66 0 0
7 22 BE AD 0 0
7 23 53 99 0 0
F 23 54 75 0 0
7 23 5B C 80 0
7 23 65 50 80 0
F 23 C8 F3 0 0
7 23 F5 18 0 0
7 24 26 B8 80 0
7 24 C3 6 0 0
7 24 D7 DD 0 0
7 25 15 8B 80 0
F 28 4A BC 80 0
7 28 8C 3F 0 0
7 28 E0 DC 80 0
7 29 87 19 80 0
7 2A 52 80 80 0
7 2A 93 AE 0 0
7 2A 97 E2 80 0
7 2A B7 5E 80 0
7 2A E5 63 0 0
7 2B E6 30 80 0
F 2C 25 CE 80 0
7 2C 7A F8 0 0
F 2D 1 BB 0 0
7 2D 41 7 80 0
7 2D 63 6E 0 0
7 2D F5 38 0 0
F 2E 44 9C 80 0
7 2E B2 15 80 0
F 2E E4 46 0 0
F 2E F3 58 0 0
7 2F 12 74 0 0
7 2F 34 28 0 0
F 2F BB 93 80 0
7 2F C8 ED 80 0
7 2F D2 6 0 0
F 2F DB C1 80 0
7 30 3B 2C 0 0
7 30 52 CA 80 0
7 30 FE F5 80 0
7 31 10 A4 80 0
F 31 2B 54 0 0
7 32 C0 D0 0 0
F 33 11 B4 80 0
7 33 35 4C 0 0
7 33 59 45 0 0
F 34 2E 94 0 0
F 34 35 9B 80 0
7 35 9B 75 0 0
7 35 E7 15 80 0
7 35 F9 AD 80 0
F 37 2B 11 0 0
F 37 3B 5 80 0
7 37 D0 6A 0 0
7 37 E6 52 0 0
7 37 F7 B7 80 0
F 38 76 10 80 0
7 38 C8 76 0 0
F 38 E5 9 80 0
F 39 2 28 80 0
F 39 73 1F 80 0
F 3A 24 A5 80 0
F 3A BF 99 0 0
7 3B 4F 6 80 0
F 3B 74 BD 80 0
7 3B E3 EE 0 0
7 3B EA E9 0 0
1F 3C F 5B 0 0
F 3D D3 24 0 0
F 3F 11 ED 80 0
F 3F 13 1E 80 0
7 3F 50 49 0 0
F 3F B0 B9 0 0
7 3F D4 E7 80 0
7 41 4 2C 0 0
F 41 4 EB 80 0
7 41 2C CD 0 0
7 41 51 73 0 0
F 42 2F C0 80 0
7 42 6D 76 0 0
7 44 4E 91 80 0
7 44 5B 66 0 0
7 45 41 A4 80 0
7 46 14 C0 0 0
7 46 49 3F 80 0
F 46 BB 60 80 0
7 47 4 1B 0 0
F 47 83 D7 80 0
7 48 35 5A 0 0
7 49 C3 B 0 0
F 4A E5 62 80 0
7 4B 10 21 80 0
F 4B 53 14 0 0
F 4B 67 1E 0 0
7 4C 9A 98 0 0
7 4C CC 4B 80 0
7 4C FC A1 0 0
F 4D 33 49 80 0
7 4E A3 E8 0 0
7 4F 8B 61 0 0
F 4F D6 BF 0 0
F 50 5C 31 0 0
F 50 E4 EE 0 0
7 51 25 C3 0 0
7 51 68 28 0 0
7 53 19 61 80 0
F 53 B6 55 0 0
F 53 C5 F9 0 0
7 53 DF 2C 80 0
7 54 0 99 80 0
F 54 E 62 80 0
7 54 3C 1D 0 0
F 54 67 2 80 0
7 54 81 8F 80 0
7 54 B1 91 0 0
F 55 FE C6 0 0
7 56 1F A5 0 0
