4 B0 27 A 0 0
C B0 C0 E2 0 0
C B1 1F 54 80 0
4 B1 86 74 0 0
C B2 49 AE 80 0
1C B3 14 70 80 0
1C B3 4E 0 80 0
4 B3 7A 4E 80 0
4 B3 92 DE 80 0
4 B3 C6 8 0 0
4 B3 FA FB 0 0
4 B4 18 D7 80 0
4 B5 1A C3 80 0
4 B6 4 20 80 0
4 B6 AF 6C 80 0
C B6 C3 1D 80 0
4 B6 DF 72 80 0
4 B6 F0 5D 0 0
4 B7 46 A9 80 0
C B7 64 80 0 0
4 B7 F5 44 80 0
C B9 E6 76 0 0
4 BA D7 BB 80 0
4 BB AA 31 80 0
4 BE 21 C6 0 0
4 BF 3E DD 80 0
C BF AC 78 80 0
4 C1 72 65 80 0
4 C1 DB E0 0 0
4 C1 F9 BE 0 0
C C2 41 37 0 0
C C2 7A D9 80 0
4 C2 95 FF 80 0
4 C2 9F E 0 0
4 C3 5F 11 80 0
C C3 C6 3A 80 0
4 C4 61 B0 0 0
4 C4 9F 8D 0 0
C C4 E3 5C 80 0
4 C5 15 62 80 0
4 C5 58 30 80 0
C C6 19 D9 80 0
C C7 B5 D7 0 0
4 C7 C7 1A 80 0
4 C7 DD 2B 0 0
4 C8 6A 13 80 0
4 C8 7C 64 0 0
4 C8 A1 F4 80 0
C C8 AB 5F 80 0
C C8 E0 1B 0 0
C C9 E 67 80 0
4 C9 28 97 80 0
4 C9 DC CF 0 0
4 CA 1C C2 0 0
4 CA F0 2D 0 0
C CB 17 31 0 0
C CB 2E 93 80 0
4 CB 68 12 80 0
4 CB 70 17 0 0
C CC C2 99 80 0
C CD CC 7C 0 0
C CE 1D 5C 0 0
4 CE 45 B6 80 0
4 CE 81 1E 0 0
4 CE A2 E5 80 0
4 CE A9 EB 0 0
4 CF 43 47 0 0
4 CF 52 F1 0 0
4 CF F2 5B 80 0
C D0 55 F2 80 0
C D1 9F E 80 0
4 D1 CA 2F 0 0
4 D2 B0 7F 0 0
C D2 B8 DC 0 0
4 D3 24 B1 0 0
C D3 6B B1 80 0
4 D3 9C BA 0 0
4 D3 B5 59 80 0
C D4 6B 10 80 0
C D4 9B 40 80 0
4 D4 A5 26 0 0
4 D4 C6 5B 80 0
4 D5 1B 75 0 0
C D5 36 45 80 0
4 D5 50 26 0 0
C D5 D4 EB 0 0
4 D6 58 B9 0 0
4 D7 A6 C3 80 0
C D8 CE C5 0 0
4 D8 D6 CE 0 0
C D9 2C 72 80 0
4 D9 52 5C 0 0
C D9 6F 5C 0 0
C D9 C0 C6 0 0
C DB 3E B2 0 0
4 DB 9D 7F 0 0
4 DB B9 1E 80 0
C DC C7 60 80 0
4 DD 93 DB 0 0
C DE 9 67 80 0
4 DE E1 A7 0 0
C DF 9A CD 0 0
C E0 1F 71 0 0
4 E0 35 37 0 0
4 E2 16 6D 0 0
C E2 77 37 80 0
C E2 EB AA 80 0
4 E2 F0 5D 0 0
4 E3 47 EC 0 0
C E3 EE D1 0 0
4 E5 2D 65 0 0
4 E5 66 66 80 0
4 E5 B1 4F 80 0
C E5 FB C6 80 0
C E6 14 70 0 0
C E6 30 22 0 0
1C E6 6F 12 0 0
C E6 F0 D0 80 0
4 E7 E 9C 80 0
4 E8 B6 EF 0 0
4 E8 CA 7C 80 0
4 E9 37 7B 80 0
4 E9 54 6C 0 0
4 E9 77 B4 0 0
C E9 8E 5E 0 0
1C E9 D1 B2 80 0
C EB 52 4D 80 0
4 EB 73 8B 0 0
C EB AF 80 80 0
4 EB E0 4B 80 0
4 EB FC 20 80 0
4 EC 30 57 0 0
4 EC 62 90 0 0
C EC 97 71 80 0
4 ED 3A 2A 0 0
4 EE CA A 0 0
C EF 45 D6 0 0
4 EF 4E BA 0 0
4 EF DA 67 0 0
4 F0 2C 3F 80 0
4 F0 D6 61 80 0
4 F1 BB 92 0 0
C F2 15 32 0 0
C F2 60 70 80 0
4 F2 82 CA 80 0
4 F2 E4 A4 80 0
C F3 37 AA 80 0
C F4 6 6E 80 0
4 F4 1C B3 80 0
C F6 E AE 0 0
C F6 1A 77 0 0
C F7 17 B2 80 0
C F7 DB 2A 0 0
4 F7 E7 FC 0 0
C F7 EA 22 0 0
1C F7 EC 74 80 0
C F8 45 38 0 0
4 F8 6D 1D 80 0
C F8 B2 32 0 0
C F9 2 A3 80 0
C F9 AD B8 0 0
C FA 4D C4 0 0
4 FA B2 B 80 0
4 FA C2 D3 80 0
4 FA EB FD 80 0
C FB 72 AC 0 0
C FB 76 CC 0 0
4 FB FF 39 80 0
C FC 55 F0 80 0
C FC 85 AD 80 0
4 FC B8 58 80 0
4 FC FF 23 80 0
4 FD 7 1C 0 0
4 FD 34 B9 80 0
4 FD 5C 62 80 0
4 FD CC D 80 0
