4 F4 F8 A3 80 0
4 F5 67 2F 0 0
4 F5 8B DF 80 0
4 F5 8D 2B 0 0
4 F5 D3 77 0 0
C F6 97 3A 80 0
C F6 A9 C1 80 0
C F6 B0 EE 0 0
4 F6 F2 31 80 0
C F8 3D B 0 0
C F8 48 6D 80 0
C F8 52 12 0 0
4 F8 5B 56 80 0
C F8 D1 E2 80 0
4 F8 E1 AB 80 0
4 F9 2 18 0 0
4 F9 68 A4 80 0
C F9 FF C1 80 0
C FA 22 CE 80 0
C FA BF 67 80 0
C FB 38 F 0 0
4 FC 24 68 80 0
4 FD 10 F7 80 0
4 FD 1D D 0 0
C FD 4F C8 0 0
4 FE C2 FA 80 0
4 FF 51 C1 0 0
C FF BC 1B 80 0
D 0 97 26 80 0
D 0 9F BE 0 0
5 0 CC 77 80 0
D 1 9F EF 80 0
D 1 FF A1 80 0
1D 2 46 B9 80 0
D 2 90 E3 0 0
D 2 F6 3B 80 0
5 3 9 27 80 0
5 3 41 B5 0 0
5 3 7B EF 80 0
D 4 47 C7 0 0
1D 5 AB C8 0 0
D 5 B6 43 0 0
D 6 1E 7A 0 0
5 6 44 77 0 0
1D 6 E0 2 80 0
D 7 4F 77 80 0
D 7 66 DD 80 0
5 7 86 46 80 0
D 7 A4 A6 0 0
5 7 CC 12 80 0
5 8 2F 9F 0 0
5 8 6B 29 0 0
5 8 90 2F 0 0
5 8 B7 89 0 0
D 9 37 8B 0 0
D 9 84 D 0 0
5 9 89 56 0 0
5 9 AB 9 0 0
5 A 23 6F 0 0
D A 5B C7 80 0
5 A 65 45 80 0
D A 66 B3 80 0
